               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.030431,            0.011074,            0.027577,              0.3408,                   1,             0.65141,             0.43148,            0.016695,           0.0042238,            0.020636,           0.0083962,           0.0083962,           0.0083962
                  83,            0.026782,           0.0093368,            0.028514,             0.52808,             0.80446,             0.76285,               0.297,            0.027258,           0.0048695,            0.019725,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03138,            0.008465,            0.027659,             0.38519,             0.99806,              0.6845,             0.43177,            0.022385,           0.0045547,            0.019514,           0.0083566,           0.0083566,           0.0083566
                  85,            0.037169,            0.010869,            0.031466,             0.36904,                   1,             0.70217,              0.4591,            0.017865,           0.0043602,            0.019235,           0.0083368,           0.0083368,           0.0083368
                  86,            0.023291,            0.010037,            0.028688,             0.38287,                   1,             0.78974,             0.44717,            0.022587,           0.0045099,            0.019084,            0.008317,            0.008317,            0.008317
                  87,            0.023349,           0.0098327,            0.025852,             0.45168,             0.95833,             0.84183,             0.54686,             0.01674,            0.004426,            0.019542,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03731,           0.0096069,            0.032246,             0.47862,             0.95833,             0.79849,             0.30392,            0.028281,           0.0043182,            0.018819,           0.0082774,           0.0082774,           0.0082774
                  89,            0.042768,            0.010476,            0.027445,             0.42764,             0.95833,             0.74929,             0.49129,            0.015542,           0.0041065,            0.018416,           0.0082576,           0.0082576,           0.0082576
                  90,            0.038597,            0.011847,            0.028498,             0.38491,                   1,             0.74212,             0.40158,            0.023771,           0.0043507,            0.018123,           0.0082378,           0.0082378,           0.0082378
                  91,            0.029128,            0.009979,            0.026234,             0.64017,             0.91667,             0.88379,             0.59852,            0.015849,           0.0042534,              0.0181,            0.008218,            0.008218,            0.008218
                  92,            0.033611,             0.01074,            0.027678,             0.53749,             0.83132,             0.86715,             0.62132,            0.016334,           0.0042181,            0.017596,           0.0081982,           0.0081982,           0.0081982
                  93,            0.030474,            0.010767,            0.030373,             0.77619,             0.74296,             0.84719,             0.44909,            0.021948,           0.0041609,            0.017601,           0.0081784,           0.0081784,           0.0081784
                  94,            0.032254,           0.0091018,             0.02848,             0.77189,             0.66083,             0.82658,              0.6047,            0.014053,           0.0043507,            0.018544,           0.0081586,           0.0081586,           0.0081586
                  95,            0.031537,            0.010004,            0.030629,             0.92689,             0.77136,             0.90715,             0.44629,            0.022999,           0.0045624,            0.016869,           0.0081388,           0.0081388,           0.0081388
                  96,            0.020885,           0.0090282,            0.020878,             0.93417,             0.77713,             0.90993,             0.54844,            0.021525,             0.00418,            0.016177,            0.008119,            0.008119,            0.008119
                  97,             0.03741,            0.011126,            0.028651,             0.89087,             0.80206,               0.925,             0.50927,            0.020942,           0.0043945,            0.015729,           0.0080992,           0.0080992,           0.0080992
                  98,            0.025634,            0.010357,            0.024862,             0.86195,             0.79167,             0.91994,              0.6344,            0.015922,           0.0042629,            0.015385,           0.0080794,           0.0080794,           0.0080794
                  99,            0.031434,           0.0093785,            0.031111,             0.79838,             0.75461,             0.91699,             0.42439,            0.028833,           0.0046988,            0.015436,           0.0080596,           0.0080596,           0.0080596
                 100,            0.024648,             0.01004,            0.021872,             0.89283,             0.83845,             0.95418,             0.60829,            0.017408,           0.0045166,            0.015688,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026279,           0.0082981,            0.023702,             0.61338,             0.95833,             0.94118,             0.48471,            0.024533,           0.0045996,            0.015385,             0.00802,             0.00802,             0.00802
                 102,            0.023312,           0.0097731,             0.02308,             0.64778,             0.95833,             0.94615,             0.54006,            0.019708,            0.004282,            0.014941,           0.0080002,           0.0080002,           0.0080002
                 103,            0.029408,           0.0095977,            0.026443,             0.60436,             0.91667,             0.93764,             0.57948,            0.019638,           0.0044889,            0.014539,           0.0079804,           0.0079804,           0.0079804
                 104,             0.03475,            0.010412,            0.028627,             0.50767,             0.91667,             0.83785,             0.44333,             0.02554,           0.0045929,            0.014058,           0.0079606,           0.0079606,           0.0079606
                 105,            0.033244,            0.010233,            0.023973,             0.74468,             0.91575,             0.93771,             0.63416,            0.016656,            0.004631,             0.01393,           0.0079408,           0.0079408,           0.0079408
                 106,            0.024687,           0.0099446,            0.021407,             0.46951,             0.92338,             0.67873,             0.32871,            0.030146,           0.0046787,            0.016159,            0.007921,            0.007921,            0.007921
                 107,            0.030503,           0.0099593,            0.025716,             0.83095,              0.8557,             0.88927,             0.60504,            0.016934,           0.0042925,            0.014772,           0.0079012,           0.0079012,           0.0079012
                 108,            0.034236,           0.0097887,            0.028789,             0.80824,             0.91667,             0.93462,             0.53453,            0.023796,           0.0046549,             0.01404,           0.0078814,           0.0078814,           0.0078814
                 109,            0.032615,            0.010066,            0.024723,             0.81622,             0.86893,             0.88923,             0.63556,            0.015777,           0.0044155,            0.013774,           0.0078616,           0.0078616,           0.0078616
                 110,            0.028729,              0.0097,            0.022735,             0.70467,             0.88611,             0.92043,             0.62855,            0.018981,            0.004384,            0.013147,           0.0078418,           0.0078418,           0.0078418
                 111,            0.027876,            0.010316,            0.025096,             0.91793,             0.78194,             0.92348,             0.63338,            0.018655,           0.0047112,            0.013051,            0.007822,            0.007822,            0.007822
                 112,            0.032746,           0.0091891,            0.026472,              0.7613,             0.82452,             0.88225,             0.62116,            0.016743,           0.0047112,            0.012955,           0.0078022,           0.0078022,           0.0078022
                 113,             0.02857,            0.009544,             0.02468,             0.80362,             0.79167,             0.89394,             0.59473,            0.019846,           0.0045824,            0.012708,           0.0077824,           0.0077824,           0.0077824
